,JakaumaId,AanestysId,Ryhma,Jaa,Ei,Tyhjia,Poissa,Yhteensa,Tyyppi,Imported
705904,1074687,38941.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
709155,1077938,39061.0,Keskustan eduskuntaryhmä,44.0,0.0,0         ,5         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
709156,1077939,39061.0,Kansallisen kokoomuksen eduskuntaryhmä,34.0,0.0,0         ,3         ,37        ,eduskuntaryhma,2018-02-06 11:17:00
709157,1077940,39061.0,Sosialidemokraattinen eduskuntaryhmä,0.0,29.0,0         ,6         ,35        ,eduskuntaryhma,2018-02-06 11:17:00
709158,1077941,39061.0,Uusi vaihtoehto eduskuntaryhmä,16.0,0.0,0         ,2         ,18        ,eduskuntaryhma,2018-02-06 11:17:00
709159,1077942,39061.0,Perussuomalaisten eduskuntaryhmä,13.0,0.0,0         ,4         ,17        ,eduskuntaryhma,2018-02-06 11:17:00
709160,1077943,39061.0,Vihreä eduskuntaryhmä,0.0,9.0,0         ,6         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
709161,1077944,39061.0,Vasemmistoliiton eduskuntaryhmä,0.0,10.0,0         ,2         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
709162,1077945,39061.0,Ruotsalainen eduskuntaryhmä,0.0,9.0,0         ,1         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
709163,1077946,39061.0,Kristillisdemokraattinen eduskuntaryhmä,4.0,0.0,0         ,1         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
709164,1077947,39061.0,Eduskuntaryhmä Ruoho,1.0,0.0,0         ,0         ,1         ,eduskuntaryhma,2018-02-06 11:17:00
714173,1082956,39253.0,Keskustan eduskuntaryhmä,48.0,0.0,0         ,1         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
714174,1082957,39253.0,Kansallisen kokoomuksen eduskuntaryhmä,35.0,0.0,0         ,3         ,38        ,eduskuntaryhma,2018-02-06 11:17:00
714175,1082958,39253.0,Sosialidemokraattinen eduskuntaryhmä,0.0,33.0,0         ,2         ,35        ,eduskuntaryhma,2018-02-06 11:17:00
714176,1082959,39253.0,Sininen eduskuntaryhmä,16.0,0.0,0         ,2         ,18        ,eduskuntaryhma,2018-02-06 11:17:00
714177,1082960,39253.0,Perussuomalaisten eduskuntaryhmä,0.0,14.0,0         ,3         ,17        ,eduskuntaryhma,2018-02-06 11:17:00
714178,1082961,39253.0,Vihreä eduskuntaryhmä,0.0,14.0,0         ,1         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
714179,1082962,39253.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
714180,1082963,39253.0,Ruotsalainen eduskuntaryhmä,0.0,7.0,0         ,3         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
714181,1082964,39253.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,4.0,0         ,1         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
714589,1083372,39269.0,Keskustan eduskuntaryhmä,48.0,0.0,0         ,1         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
714590,1083373,39269.0,Kansallisen kokoomuksen eduskuntaryhmä,35.0,0.0,0         ,3         ,38        ,eduskuntaryhma,2018-02-06 11:17:00
714591,1083374,39269.0,Sosialidemokraattinen eduskuntaryhmä,0.0,33.0,0         ,2         ,35        ,eduskuntaryhma,2018-02-06 11:17:00
714592,1083375,39269.0,Sininen eduskuntaryhmä,16.0,0.0,0         ,2         ,18        ,eduskuntaryhma,2018-02-06 11:17:00
714593,1083376,39269.0,Perussuomalaisten eduskuntaryhmä,0.0,14.0,0         ,3         ,17        ,eduskuntaryhma,2018-02-06 11:17:00
714594,1083377,39269.0,Vihreä eduskuntaryhmä,0.0,14.0,0         ,1         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
714595,1083378,39269.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
714596,1083379,39269.0,Ruotsalainen eduskuntaryhmä,7.0,0.0,0         ,3         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
714597,1083380,39269.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,4.0,0         ,1         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
716305,1085088,39335.0,Keskustan eduskuntaryhmä,46.0,0.0,0         ,3         ,49        ,eduskuntaryhma,2018-02-06 11:17:00
716306,1085089,39335.0,Kansallisen kokoomuksen eduskuntaryhmä,33.0,0.0,0         ,5         ,38        ,eduskuntaryhma,2018-02-06 11:17:00
716307,1085090,39335.0,Sosialidemokraattinen eduskuntaryhmä,0.0,31.0,0         ,4         ,35        ,eduskuntaryhma,2018-02-06 11:17:00
716308,1085091,39335.0,Sininen eduskuntaryhmä,17.0,0.0,0         ,1         ,18        ,eduskuntaryhma,2018-02-06 11:17:00
716309,1085092,39335.0,Perussuomalaisten eduskuntaryhmä,0.0,15.0,0         ,2         ,17        ,eduskuntaryhma,2018-02-06 11:17:00
716310,1085093,39335.0,Vihreä eduskuntaryhmä,0.0,13.0,0         ,2         ,15        ,eduskuntaryhma,2018-02-06 11:17:00
716311,1085094,39335.0,Vasemmistoliiton eduskuntaryhmä,0.0,12.0,0         ,0         ,12        ,eduskuntaryhma,2018-02-06 11:17:00
716312,1085095,39335.0,Ruotsalainen eduskuntaryhmä,0.0,10.0,0         ,0         ,10        ,eduskuntaryhma,2018-02-06 11:17:00
716313,1085096,39335.0,Kristillisdemokraattinen eduskuntaryhmä,0.0,5.0,0         ,0         ,5         ,eduskuntaryhma,2018-02-06 11:17:00
763357,1132192,41145.0,Keskustan eduskuntaryhmä,47.0,0.0,0         ,2         ,49        ,eduskuntaryhma,2018-05-18 00:23:34.941198
